id,file_name,mime_type,byte_size,storage_url,uploaded_at
1,product_explainer_1.mp4,video/mp4,7015952,https://cdn.cms-assets.internal/uploads/videos/product_explainer_1.mp4,2026-05-04 15:59:19
2,product_explainer_2.mp4,video/mp4,936715,https://cdn.cms-assets.internal/uploads/videos/product_explainer_2.mp4,2025-09-11 15:59:19
3,hero_banner_3.jpg,image/jpeg,2715033,https://cdn.cms-assets.internal/uploads/images/hero_banner_3.jpg,2026-02-04 15:59:19
4,product_explainer_4.mp4,video/mp4,12373057,https://cdn.cms-assets.internal/uploads/videos/product_explainer_4.mp4,2025-11-23 15:59:19
5,hero_banner_5.jpg,image/jpeg,9608273,https://cdn.cms-assets.internal/uploads/images/hero_banner_5.jpg,2025-07-03 15:59:19
6,product_explainer_6.mp4,video/mp4,22975012,https://cdn.cms-assets.internal/uploads/videos/product_explainer_6.mp4,2026-02-24 15:59:19
7,hero_banner_7.jpg,image/jpeg,3349154,https://cdn.cms-assets.internal/uploads/images/hero_banner_7.jpg,2025-07-05 15:59:19
8,product_explainer_8.mp4,video/mp4,21591368,https://cdn.cms-assets.internal/uploads/videos/product_explainer_8.mp4,2025-09-19 15:59:19
9,hero_banner_9.jpg,image/jpeg,3336581,https://cdn.cms-assets.internal/uploads/images/hero_banner_9.jpg,2026-03-15 15:59:19
10,hero_banner_10.jpg,image/jpeg,2168228,https://cdn.cms-assets.internal/uploads/images/hero_banner_10.jpg,2025-11-03 15:59:19
11,hero_banner_11.jpg,image/jpeg,6157259,https://cdn.cms-assets.internal/uploads/images/hero_banner_11.jpg,2025-08-25 15:59:19
12,hero_banner_12.jpg,image/jpeg,15477642,https://cdn.cms-assets.internal/uploads/images/hero_banner_12.jpg,2025-07-22 15:59:19
13,hero_banner_13.jpg,image/jpeg,23980868,https://cdn.cms-assets.internal/uploads/images/hero_banner_13.jpg,2025-07-27 15:59:19
14,product_explainer_14.mp4,video/mp4,24754423,https://cdn.cms-assets.internal/uploads/videos/product_explainer_14.mp4,2025-07-07 15:59:19
15,hero_banner_15.jpg,image/jpeg,11992757,https://cdn.cms-assets.internal/uploads/images/hero_banner_15.jpg,2025-09-02 15:59:19
16,hero_banner_16.jpg,image/jpeg,16153776,https://cdn.cms-assets.internal/uploads/images/hero_banner_16.jpg,2026-02-02 15:59:19
17,product_explainer_17.mp4,video/mp4,14015290,https://cdn.cms-assets.internal/uploads/videos/product_explainer_17.mp4,2026-01-04 15:59:19
18,product_explainer_18.mp4,video/mp4,41195,https://cdn.cms-assets.internal/uploads/videos/product_explainer_18.mp4,2026-01-30 15:59:19
19,hero_banner_19.jpg,image/jpeg,10537161,https://cdn.cms-assets.internal/uploads/images/hero_banner_19.jpg,2026-01-13 15:59:19
20,hero_banner_20.jpg,image/jpeg,17623944,https://cdn.cms-assets.internal/uploads/images/hero_banner_20.jpg,2025-07-31 15:59:19
21,hero_banner_21.jpg,image/jpeg,4730855,https://cdn.cms-assets.internal/uploads/images/hero_banner_21.jpg,2026-04-18 15:59:19
22,hero_banner_22.jpg,image/jpeg,19049914,https://cdn.cms-assets.internal/uploads/images/hero_banner_22.jpg,2026-03-27 15:59:19
23,hero_banner_23.jpg,image/jpeg,18381291,https://cdn.cms-assets.internal/uploads/images/hero_banner_23.jpg,2025-10-28 15:59:19
24,product_explainer_24.mp4,video/mp4,17742254,https://cdn.cms-assets.internal/uploads/videos/product_explainer_24.mp4,2025-11-13 15:59:19
25,hero_banner_25.jpg,image/jpeg,12823184,https://cdn.cms-assets.internal/uploads/images/hero_banner_25.jpg,2025-07-20 15:59:19
26,hero_banner_26.jpg,image/jpeg,13439989,https://cdn.cms-assets.internal/uploads/images/hero_banner_26.jpg,2025-12-03 15:59:19
27,hero_banner_27.jpg,image/jpeg,12761341,https://cdn.cms-assets.internal/uploads/images/hero_banner_27.jpg,2025-08-12 15:59:19
28,hero_banner_28.jpg,image/jpeg,10435502,https://cdn.cms-assets.internal/uploads/images/hero_banner_28.jpg,2026-04-15 15:59:19
29,hero_banner_29.jpg,image/jpeg,2272860,https://cdn.cms-assets.internal/uploads/images/hero_banner_29.jpg,2025-12-19 15:59:19
30,product_explainer_30.mp4,video/mp4,481174,https://cdn.cms-assets.internal/uploads/videos/product_explainer_30.mp4,2025-06-24 15:59:19
31,product_explainer_31.mp4,video/mp4,24971047,https://cdn.cms-assets.internal/uploads/videos/product_explainer_31.mp4,2025-07-12 15:59:19
32,product_explainer_32.mp4,video/mp4,19236538,https://cdn.cms-assets.internal/uploads/videos/product_explainer_32.mp4,2026-01-22 15:59:19
33,hero_banner_33.jpg,image/jpeg,17814636,https://cdn.cms-assets.internal/uploads/images/hero_banner_33.jpg,2026-01-15 15:59:19
34,hero_banner_34.jpg,image/jpeg,19044624,https://cdn.cms-assets.internal/uploads/images/hero_banner_34.jpg,2025-07-28 15:59:19
35,product_explainer_35.mp4,video/mp4,4462552,https://cdn.cms-assets.internal/uploads/videos/product_explainer_35.mp4,2026-04-11 15:59:19
36,product_explainer_36.mp4,video/mp4,3409530,https://cdn.cms-assets.internal/uploads/videos/product_explainer_36.mp4,2025-08-05 15:59:19
37,hero_banner_37.jpg,image/jpeg,21764167,https://cdn.cms-assets.internal/uploads/images/hero_banner_37.jpg,2025-09-15 15:59:19
38,product_explainer_38.mp4,video/mp4,22902783,https://cdn.cms-assets.internal/uploads/videos/product_explainer_38.mp4,2025-12-20 15:59:19
39,hero_banner_39.jpg,image/jpeg,17687458,https://cdn.cms-assets.internal/uploads/images/hero_banner_39.jpg,2025-08-03 15:59:19
40,hero_banner_40.jpg,image/jpeg,16755710,https://cdn.cms-assets.internal/uploads/images/hero_banner_40.jpg,2026-01-20 15:59:19
41,hero_banner_41.jpg,image/jpeg,4313303,https://cdn.cms-assets.internal/uploads/images/hero_banner_41.jpg,2026-04-20 15:59:19
42,hero_banner_42.jpg,image/jpeg,21888224,https://cdn.cms-assets.internal/uploads/images/hero_banner_42.jpg,2025-06-30 15:59:19
43,hero_banner_43.jpg,image/jpeg,7099539,https://cdn.cms-assets.internal/uploads/images/hero_banner_43.jpg,2026-03-09 15:59:19
44,product_explainer_44.mp4,video/mp4,24643282,https://cdn.cms-assets.internal/uploads/videos/product_explainer_44.mp4,2026-01-02 15:59:19
45,product_explainer_45.mp4,video/mp4,3236735,https://cdn.cms-assets.internal/uploads/videos/product_explainer_45.mp4,2025-08-07 15:59:19
46,hero_banner_46.jpg,image/jpeg,22222955,https://cdn.cms-assets.internal/uploads/images/hero_banner_46.jpg,2025-11-24 15:59:19
47,hero_banner_47.jpg,image/jpeg,8351304,https://cdn.cms-assets.internal/uploads/images/hero_banner_47.jpg,2025-11-26 15:59:19
48,product_explainer_48.mp4,video/mp4,436009,https://cdn.cms-assets.internal/uploads/videos/product_explainer_48.mp4,2025-09-12 15:59:19
49,product_explainer_49.mp4,video/mp4,19593697,https://cdn.cms-assets.internal/uploads/videos/product_explainer_49.mp4,2025-07-30 15:59:19
50,hero_banner_50.jpg,image/jpeg,1248568,https://cdn.cms-assets.internal/uploads/images/hero_banner_50.jpg,2025-10-01 15:59:19
51,hero_banner_51.jpg,image/jpeg,23665289,https://cdn.cms-assets.internal/uploads/images/hero_banner_51.jpg,2025-07-08 15:59:19
52,hero_banner_52.jpg,image/jpeg,7894062,https://cdn.cms-assets.internal/uploads/images/hero_banner_52.jpg,2025-08-29 15:59:19
53,product_explainer_53.mp4,video/mp4,9549983,https://cdn.cms-assets.internal/uploads/videos/product_explainer_53.mp4,2025-10-14 15:59:19
54,hero_banner_54.jpg,image/jpeg,5615025,https://cdn.cms-assets.internal/uploads/images/hero_banner_54.jpg,2026-01-09 15:59:19
55,hero_banner_55.jpg,image/jpeg,23041087,https://cdn.cms-assets.internal/uploads/images/hero_banner_55.jpg,2026-01-13 15:59:19
56,product_explainer_56.mp4,video/mp4,15345409,https://cdn.cms-assets.internal/uploads/videos/product_explainer_56.mp4,2025-12-11 15:59:19
57,product_explainer_57.mp4,video/mp4,5096069,https://cdn.cms-assets.internal/uploads/videos/product_explainer_57.mp4,2025-06-19 15:59:19
58,hero_banner_58.jpg,image/jpeg,7398567,https://cdn.cms-assets.internal/uploads/images/hero_banner_58.jpg,2025-10-13 15:59:19
59,hero_banner_59.jpg,image/jpeg,19247341,https://cdn.cms-assets.internal/uploads/images/hero_banner_59.jpg,2025-07-07 15:59:19
60,hero_banner_60.jpg,image/jpeg,15992919,https://cdn.cms-assets.internal/uploads/images/hero_banner_60.jpg,2025-12-01 15:59:19
61,hero_banner_61.jpg,image/jpeg,8607124,https://cdn.cms-assets.internal/uploads/images/hero_banner_61.jpg,2026-05-05 15:59:19
62,hero_banner_62.jpg,image/jpeg,1507418,https://cdn.cms-assets.internal/uploads/images/hero_banner_62.jpg,2025-10-02 15:59:19
63,hero_banner_63.jpg,image/jpeg,1093223,https://cdn.cms-assets.internal/uploads/images/hero_banner_63.jpg,2025-09-10 15:59:19
64,product_explainer_64.mp4,video/mp4,14685834,https://cdn.cms-assets.internal/uploads/videos/product_explainer_64.mp4,2026-03-18 15:59:19
65,hero_banner_65.jpg,image/jpeg,11610018,https://cdn.cms-assets.internal/uploads/images/hero_banner_65.jpg,2026-03-29 15:59:19
66,product_explainer_66.mp4,video/mp4,1209347,https://cdn.cms-assets.internal/uploads/videos/product_explainer_66.mp4,2026-03-02 15:59:19
67,hero_banner_67.jpg,image/jpeg,22207438,https://cdn.cms-assets.internal/uploads/images/hero_banner_67.jpg,2025-09-21 15:59:19
68,hero_banner_68.jpg,image/jpeg,22995048,https://cdn.cms-assets.internal/uploads/images/hero_banner_68.jpg,2026-01-18 15:59:19
69,hero_banner_69.jpg,image/jpeg,21279644,https://cdn.cms-assets.internal/uploads/images/hero_banner_69.jpg,2025-06-22 15:59:19
70,hero_banner_70.jpg,image/jpeg,6210434,https://cdn.cms-assets.internal/uploads/images/hero_banner_70.jpg,2026-01-15 15:59:19
71,hero_banner_71.jpg,image/jpeg,14453503,https://cdn.cms-assets.internal/uploads/images/hero_banner_71.jpg,2026-02-11 15:59:19
72,hero_banner_72.jpg,image/jpeg,19086033,https://cdn.cms-assets.internal/uploads/images/hero_banner_72.jpg,2026-02-26 15:59:19
73,product_explainer_73.mp4,video/mp4,18028533,https://cdn.cms-assets.internal/uploads/videos/product_explainer_73.mp4,2025-10-30 15:59:19
74,product_explainer_74.mp4,video/mp4,5372857,https://cdn.cms-assets.internal/uploads/videos/product_explainer_74.mp4,2025-12-06 15:59:19
75,hero_banner_75.jpg,image/jpeg,3209907,https://cdn.cms-assets.internal/uploads/images/hero_banner_75.jpg,2026-04-08 15:59:19
