id,funnel_id,step_number,match_url_path,label
1,1,1,/products,Browse Product
2,1,2,/cart,Add To Cart
3,1,3,/checkout,Checkout
4,1,4,/thank-you,Purchase Success
5,2,1,/features,View Pricing
6,2,2,/register,Fill Form
7,2,3,/verify,Verify Identity
8,2,4,/dashboard,First Login
9,3,1,/products,Browse Product
10,3,2,/cart,Add To Cart
11,3,3,/checkout,Checkout
12,3,4,/thank-you,Purchase Success
13,4,1,/articles,Read Content
14,4,2,/paywall,Trigger Paywall
15,4,3,/subscribe,Payment Form
16,4,4,/welcome,Welcome Page
17,5,1,/products,Browse Product
18,5,2,/cart,Add To Cart
19,5,3,/checkout,Checkout
20,5,4,/thank-you,Purchase Success
21,6,1,/products,Browse Product
22,6,2,/cart,Add To Cart
23,6,3,/checkout,Checkout
24,6,4,/thank-you,Purchase Success
25,7,1,/features,View Pricing
26,7,2,/register,Fill Form
27,7,3,/verify,Verify Identity
28,7,4,/dashboard,First Login
29,8,1,/articles,Read Content
30,8,2,/paywall,Trigger Paywall
31,8,3,/subscribe,Payment Form
32,8,4,/welcome,Welcome Page
33,9,1,/articles,Read Content
34,9,2,/paywall,Trigger Paywall
35,9,3,/subscribe,Payment Form
36,9,4,/welcome,Welcome Page
37,10,1,/products,Browse Product
38,10,2,/cart,Add To Cart
39,10,3,/checkout,Checkout
40,10,4,/thank-you,Purchase Success
41,11,1,/features,View Pricing
42,11,2,/register,Fill Form
43,11,3,/verify,Verify Identity
44,11,4,/dashboard,First Login
45,12,1,/products,Browse Product
46,12,2,/cart,Add To Cart
47,12,3,/checkout,Checkout
48,12,4,/thank-you,Purchase Success
49,13,1,/products,Browse Product
50,13,2,/cart,Add To Cart
51,13,3,/checkout,Checkout
52,13,4,/thank-you,Purchase Success
53,14,1,/articles,Read Content
54,14,2,/paywall,Trigger Paywall
55,14,3,/subscribe,Payment Form
56,14,4,/welcome,Welcome Page
57,15,1,/features,View Pricing
58,15,2,/register,Fill Form
59,15,3,/verify,Verify Identity
60,15,4,/dashboard,First Login
61,16,1,/products,Browse Product
62,16,2,/cart,Add To Cart
63,16,3,/checkout,Checkout
64,16,4,/thank-you,Purchase Success
65,17,1,/articles,Read Content
66,17,2,/paywall,Trigger Paywall
67,17,3,/subscribe,Payment Form
68,17,4,/welcome,Welcome Page
69,18,1,/products,Browse Product
70,18,2,/cart,Add To Cart
71,18,3,/checkout,Checkout
72,18,4,/thank-you,Purchase Success
73,19,1,/products,Browse Product
74,19,2,/cart,Add To Cart
75,19,3,/checkout,Checkout
76,19,4,/thank-you,Purchase Success
77,20,1,/features,View Pricing
78,20,2,/register,Fill Form
79,20,3,/verify,Verify Identity
80,20,4,/dashboard,First Login
81,21,1,/articles,Read Content
82,21,2,/paywall,Trigger Paywall
83,21,3,/subscribe,Payment Form
84,21,4,/welcome,Welcome Page
85,22,1,/articles,Read Content
86,22,2,/paywall,Trigger Paywall
87,22,3,/subscribe,Payment Form
88,22,4,/welcome,Welcome Page
89,23,1,/features,View Pricing
90,23,2,/register,Fill Form
91,23,3,/verify,Verify Identity
92,23,4,/dashboard,First Login
93,24,1,/features,View Pricing
94,24,2,/register,Fill Form
95,24,3,/verify,Verify Identity
96,24,4,/dashboard,First Login
97,25,1,/features,View Pricing
98,25,2,/register,Fill Form
99,25,3,/verify,Verify Identity
100,25,4,/dashboard,First Login
101,26,1,/features,View Pricing
102,26,2,/register,Fill Form
103,26,3,/verify,Verify Identity
104,26,4,/dashboard,First Login
105,27,1,/features,View Pricing
106,27,2,/register,Fill Form
107,27,3,/verify,Verify Identity
108,27,4,/dashboard,First Login
109,28,1,/products,Browse Product
110,28,2,/cart,Add To Cart
111,28,3,/checkout,Checkout
112,28,4,/thank-you,Purchase Success
113,29,1,/articles,Read Content
114,29,2,/paywall,Trigger Paywall
115,29,3,/subscribe,Payment Form
116,29,4,/welcome,Welcome Page
117,30,1,/articles,Read Content
118,30,2,/paywall,Trigger Paywall
119,30,3,/subscribe,Payment Form
120,30,4,/welcome,Welcome Page
121,31,1,/products,Browse Product
122,31,2,/cart,Add To Cart
123,31,3,/checkout,Checkout
124,31,4,/thank-you,Purchase Success
125,32,1,/articles,Read Content
126,32,2,/paywall,Trigger Paywall
127,32,3,/subscribe,Payment Form
128,32,4,/welcome,Welcome Page
129,33,1,/features,View Pricing
130,33,2,/register,Fill Form
131,33,3,/verify,Verify Identity
132,33,4,/dashboard,First Login
133,34,1,/features,View Pricing
134,34,2,/register,Fill Form
135,34,3,/verify,Verify Identity
136,34,4,/dashboard,First Login
137,35,1,/articles,Read Content
138,35,2,/paywall,Trigger Paywall
139,35,3,/subscribe,Payment Form
140,35,4,/welcome,Welcome Page
141,36,1,/products,Browse Product
142,36,2,/cart,Add To Cart
143,36,3,/checkout,Checkout
144,36,4,/thank-you,Purchase Success
145,37,1,/articles,Read Content
146,37,2,/paywall,Trigger Paywall
147,37,3,/subscribe,Payment Form
148,37,4,/welcome,Welcome Page
149,38,1,/articles,Read Content
150,38,2,/paywall,Trigger Paywall
151,38,3,/subscribe,Payment Form
152,38,4,/welcome,Welcome Page
153,39,1,/products,Browse Product
154,39,2,/cart,Add To Cart
155,39,3,/checkout,Checkout
156,39,4,/thank-you,Purchase Success
157,40,1,/articles,Read Content
158,40,2,/paywall,Trigger Paywall
159,40,3,/subscribe,Payment Form
160,40,4,/welcome,Welcome Page
161,41,1,/products,Browse Product
162,41,2,/cart,Add To Cart
163,41,3,/checkout,Checkout
164,41,4,/thank-you,Purchase Success
165,42,1,/articles,Read Content
166,42,2,/paywall,Trigger Paywall
167,42,3,/subscribe,Payment Form
168,42,4,/welcome,Welcome Page
169,43,1,/features,View Pricing
170,43,2,/register,Fill Form
171,43,3,/verify,Verify Identity
172,43,4,/dashboard,First Login
173,44,1,/features,View Pricing
174,44,2,/register,Fill Form
175,44,3,/verify,Verify Identity
176,44,4,/dashboard,First Login
177,45,1,/products,Browse Product
178,45,2,/cart,Add To Cart
179,45,3,/checkout,Checkout
180,45,4,/thank-you,Purchase Success
181,46,1,/products,Browse Product
182,46,2,/cart,Add To Cart
183,46,3,/checkout,Checkout
184,46,4,/thank-you,Purchase Success
185,47,1,/products,Browse Product
186,47,2,/cart,Add To Cart
187,47,3,/checkout,Checkout
188,47,4,/thank-you,Purchase Success
189,48,1,/features,View Pricing
190,48,2,/register,Fill Form
191,48,3,/verify,Verify Identity
192,48,4,/dashboard,First Login
193,49,1,/features,View Pricing
194,49,2,/register,Fill Form
195,49,3,/verify,Verify Identity
196,49,4,/dashboard,First Login
197,50,1,/articles,Read Content
198,50,2,/paywall,Trigger Paywall
199,50,3,/subscribe,Payment Form
200,50,4,/welcome,Welcome Page
201,51,1,/features,View Pricing
202,51,2,/register,Fill Form
203,51,3,/verify,Verify Identity
204,51,4,/dashboard,First Login
205,52,1,/features,View Pricing
206,52,2,/register,Fill Form
207,52,3,/verify,Verify Identity
208,52,4,/dashboard,First Login
209,53,1,/features,View Pricing
210,53,2,/register,Fill Form
211,53,3,/verify,Verify Identity
212,53,4,/dashboard,First Login
213,54,1,/features,View Pricing
214,54,2,/register,Fill Form
215,54,3,/verify,Verify Identity
216,54,4,/dashboard,First Login
217,55,1,/articles,Read Content
218,55,2,/paywall,Trigger Paywall
219,55,3,/subscribe,Payment Form
220,55,4,/welcome,Welcome Page
221,56,1,/features,View Pricing
222,56,2,/register,Fill Form
223,56,3,/verify,Verify Identity
224,56,4,/dashboard,First Login
225,57,1,/features,View Pricing
226,57,2,/register,Fill Form
227,57,3,/verify,Verify Identity
228,57,4,/dashboard,First Login
229,58,1,/products,Browse Product
230,58,2,/cart,Add To Cart
231,58,3,/checkout,Checkout
232,58,4,/thank-you,Purchase Success
233,59,1,/features,View Pricing
234,59,2,/register,Fill Form
