id,brand_id,category_id,sku,name,description,base_price_cents,currency,is_active,created_at
1,638,34,PROD-991-0001,Premium Utility Item Block 1,High-performance catalog item matching product identifier reference code 1.,15123,USD,1,2026-01-10 15:54:25
2,66,23,PROD-304-0002,Premium Utility Item Block 2,High-performance catalog item matching product identifier reference code 2.,14258,USD,0,2025-04-18 15:54:25
3,713,43,PROD-225-0003,Premium Utility Item Block 3,High-performance catalog item matching product identifier reference code 3.,17375,USD,1,2025-09-09 15:54:25
4,627,44,PROD-865-0004,Premium Utility Item Block 4,High-performance catalog item matching product identifier reference code 4.,23124,USD,1,2026-04-26 15:54:25
5,834,20,PROD-462-0005,Premium Utility Item Block 5,High-performance catalog item matching product identifier reference code 5.,15707,USD,0,2025-12-17 15:54:25
6,127,29,PROD-653-0006,Premium Utility Item Block 6,High-performance catalog item matching product identifier reference code 6.,21069,USD,1,2025-12-22 15:54:25
7,372,30,PROD-916-0007,Premium Utility Item Block 7,High-performance catalog item matching product identifier reference code 7.,21696,USD,1,2025-06-24 15:54:25
8,211,47,PROD-786-0008,Premium Utility Item Block 8,High-performance catalog item matching product identifier reference code 8.,7337,USD,1,2025-12-22 15:54:25
9,599,9,PROD-546-0009,Premium Utility Item Block 9,High-performance catalog item matching product identifier reference code 9.,17139,USD,1,2025-11-25 15:54:25
10,131,20,PROD-115-0010,Premium Utility Item Block 10,High-performance catalog item matching product identifier reference code 10.,9891,USD,1,2025-03-07 15:54:25
11,128,19,PROD-181-0011,Premium Utility Item Block 11,High-performance catalog item matching product identifier reference code 11.,2026,USD,1,2026-05-21 15:54:25
12,496,27,PROD-369-0012,Premium Utility Item Block 12,High-performance catalog item matching product identifier reference code 12.,18356,USD,0,2025-08-23 15:54:25
13,932,44,PROD-930-0013,Premium Utility Item Block 13,High-performance catalog item matching product identifier reference code 13.,22130,USD,1,2025-12-07 15:54:25
14,604,6,PROD-580-0014,Premium Utility Item Block 14,High-performance catalog item matching product identifier reference code 14.,10597,USD,1,2025-09-29 15:54:25
15,592,10,PROD-597-0015,Premium Utility Item Block 15,High-performance catalog item matching product identifier reference code 15.,21178,USD,1,2025-06-08 15:54:25
16,366,3,PROD-551-0016,Premium Utility Item Block 16,High-performance catalog item matching product identifier reference code 16.,18446,USD,1,2025-08-24 15:54:25
17,446,19,PROD-924-0017,Premium Utility Item Block 17,High-performance catalog item matching product identifier reference code 17.,7648,USD,1,2026-04-14 15:54:25
18,659,14,PROD-376-0018,Premium Utility Item Block 18,High-performance catalog item matching product identifier reference code 18.,24736,USD,1,2026-02-21 15:54:25
19,606,40,PROD-675-0019,Premium Utility Item Block 19,High-performance catalog item matching product identifier reference code 19.,20539,USD,1,2026-05-21 15:54:25
20,943,37,PROD-646-0020,Premium Utility Item Block 20,High-performance catalog item matching product identifier reference code 20.,16738,USD,1,2026-03-02 15:54:25
21,967,27,PROD-349-0021,Premium Utility Item Block 21,High-performance catalog item matching product identifier reference code 21.,1636,USD,1,2026-03-05 15:54:25
22,871,9,PROD-316-0022,Premium Utility Item Block 22,High-performance catalog item matching product identifier reference code 22.,18889,USD,1,2025-05-14 15:54:25
23,802,44,PROD-149-0023,Premium Utility Item Block 23,High-performance catalog item matching product identifier reference code 23.,3084,USD,0,2025-04-22 15:54:25
24,179,20,PROD-561-0024,Premium Utility Item Block 24,High-performance catalog item matching product identifier reference code 24.,24509,USD,1,2025-06-11 15:54:25
25,193,4,PROD-836-0025,Premium Utility Item Block 25,High-performance catalog item matching product identifier reference code 25.,20048,USD,1,2026-01-27 15:54:25
26,480,34,PROD-307-0026,Premium Utility Item Block 26,High-performance catalog item matching product identifier reference code 26.,15655,USD,1,2025-04-02 15:54:25
27,178,46,PROD-921-0027,Premium Utility Item Block 27,High-performance catalog item matching product identifier reference code 27.,15949,USD,1,2025-08-01 15:54:25
28,92,16,PROD-836-0028,Premium Utility Item Block 28,High-performance catalog item matching product identifier reference code 28.,2214,USD,1,2025-05-14 15:54:25
29,282,33,PROD-129-0029,Premium Utility Item Block 29,High-performance catalog item matching product identifier reference code 29.,12382,USD,1,2025-03-22 15:54:25
30,159,36,PROD-922-0030,Premium Utility Item Block 30,High-performance catalog item matching product identifier reference code 30.,24674,USD,1,2026-02-03 15:54:25
31,25,44,PROD-202-0031,Premium Utility Item Block 31,High-performance catalog item matching product identifier reference code 31.,5185,USD,1,2025-10-07 15:54:25
32,731,14,PROD-803-0032,Premium Utility Item Block 32,High-performance catalog item matching product identifier reference code 32.,6290,USD,1,2025-07-20 15:54:25
33,329,3,PROD-653-0033,Premium Utility Item Block 33,High-performance catalog item matching product identifier reference code 33.,16723,USD,1,2025-05-14 15:54:25
34,232,44,PROD-233-0034,Premium Utility Item Block 34,High-performance catalog item matching product identifier reference code 34.,23165,USD,1,2025-07-25 15:54:25
35,955,26,PROD-754-0035,Premium Utility Item Block 35,High-performance catalog item matching product identifier reference code 35.,21432,USD,1,2025-03-06 15:54:25
36,658,34,PROD-183-0036,Premium Utility Item Block 36,High-performance catalog item matching product identifier reference code 36.,13345,USD,1,2025-06-17 15:54:25
