id,crm_customer_id,channel,campaign_name,touched_at,converted
1,1,sms,Spring Clearance Flash,2024-10-08 13:25:37,1
2,1,social_media,Spring Clearance Flash,2024-10-18 12:46:03,0
3,1,social_media,Spring Clearance Flash,2024-10-07 12:53:25,0
4,2,email,Spring Clearance Flash,2025-05-10 21:45:49,1
5,2,sms,Spring Clearance Flash,2025-05-16 07:02:00,1
6,2,paid_search,Holiday VIP Early Access,2025-06-15 11:38:26,1
7,2,social_media,Loyalty Rewards Migration,2025-05-22 10:49:28,1
8,2,email,Holiday VIP Early Access,2025-05-26 17:40:00,1
9,2,paid_search,Loyalty Rewards Migration,2025-06-06 18:22:35,1
10,2,social_media,Holiday VIP Early Access,2025-05-16 17:25:12,1
11,2,retargeting_ad,Re-engagement Push 2026,2025-05-19 04:38:00,1
12,2,social_media,Holiday VIP Early Access,2025-06-06 12:37:45,1
13,2,paid_search,Holiday VIP Early Access,2025-06-04 10:05:42,1
14,2,social_media,Abandoned Cart Reminder,2025-06-13 03:36:54,1
15,2,email,Abandoned Cart Reminder,2025-06-16 16:09:30,1
16,2,social_media,Re-engagement Push 2026,2025-04-26 08:26:15,1
17,2,retargeting_ad,Loyalty Rewards Migration,2025-05-31 16:40:32,1
18,2,paid_search,Abandoned Cart Reminder,2025-06-02 05:58:55,1
19,2,paid_search,Spring Clearance Flash,2025-06-04 06:38:38,1
20,2,retargeting_ad,Re-engagement Push 2026,2025-05-16 13:35:38,1
21,2,social_media,Abandoned Cart Reminder,2025-05-22 16:59:12,1
22,2,social_media,Spring Clearance Flash,2025-06-04 12:25:02,1
23,2,paid_search,Abandoned Cart Reminder,2025-06-13 19:37:49,1
24,2,paid_search,Spring Clearance Flash,2025-05-24 21:51:29,1
25,2,paid_search,Loyalty Rewards Migration,2025-05-20 00:40:39,1
26,2,retargeting_ad,Spring Clearance Flash,2025-05-28 02:47:54,1
27,2,social_media,Spring Clearance Flash,2025-05-18 03:17:17,1
28,2,retargeting_ad,Re-engagement Push 2026,2025-05-14 05:12:05,1
29,2,email,Holiday VIP Early Access,2025-05-20 09:47:43,1
30,2,paid_search,Abandoned Cart Reminder,2025-05-04 04:31:27,1
31,3,sms,Spring Clearance Flash,2026-04-14 13:57:07,1
32,3,email,Abandoned Cart Reminder,2026-04-02 05:01:45,0
33,4,sms,Re-engagement Push 2026,2025-05-25 22:35:15,0
34,4,paid_search,Abandoned Cart Reminder,2025-05-07 18:17:45,0
35,4,social_media,Holiday VIP Early Access,2025-05-15 00:02:14,0
36,4,paid_search,Re-engagement Push 2026,2025-06-03 14:53:40,0
37,4,sms,Spring Clearance Flash,2025-04-15 01:50:37,0
38,5,social_media,Spring Clearance Flash,2024-09-17 07:55:17,1
39,6,email,Spring Clearance Flash,2025-02-09 13:53:59,0
40,6,sms,Loyalty Rewards Migration,2025-02-21 15:41:37,1
41,6,social_media,Abandoned Cart Reminder,2025-03-18 09:49:45,0
42,7,sms,Re-engagement Push 2026,2025-01-27 14:17:38,0
43,7,social_media,Spring Clearance Flash,2025-02-21 17:30:25,0
44,7,social_media,Spring Clearance Flash,2025-01-03 13:06:57,0
45,8,email,Spring Clearance Flash,2025-10-19 02:37:02,0
46,8,retargeting_ad,Abandoned Cart Reminder,2025-10-01 22:13:07,0
47,8,sms,Loyalty Rewards Migration,2025-10-16 18:25:15,1
48,8,social_media,Abandoned Cart Reminder,2025-10-20 04:01:52,0
49,8,paid_search,Holiday VIP Early Access,2025-11-17 00:29:22,0
50,9,retargeting_ad,Re-engagement Push 2026,2024-08-01 21:43:16,0
51,10,paid_search,Re-engagement Push 2026,2026-05-01 07:29:09,0
52,10,social_media,Spring Clearance Flash,2026-05-25 15:48:37,0
53,10,paid_search,Abandoned Cart Reminder,2026-04-29 11:45:24,0
54,11,paid_search,Re-engagement Push 2026,2026-02-20 18:31:49,0
55,11,paid_search,Abandoned Cart Reminder,2026-01-07 18:26:10,0
56,12,paid_search,Re-engagement Push 2026,2025-03-05 12:53:42,1
57,12,social_media,Re-engagement Push 2026,2025-03-04 04:25:41,0
58,12,sms,Re-engagement Push 2026,2025-03-11 17:58:42,0
59,12,social_media,Abandoned Cart Reminder,2025-03-31 02:18:01,0
60,13,social_media,Abandoned Cart Reminder,2025-06-20 01:54:11,0
61,13,social_media,Loyalty Rewards Migration,2025-07-05 22:26:20,1
62,14,retargeting_ad,Loyalty Rewards Migration,2024-10-01 02:44:33,0
63,14,email,Spring Clearance Flash,2024-09-28 22:18:08,1
64,14,social_media,Spring Clearance Flash,2024-09-15 17:01:22,0
65,15,retargeting_ad,Spring Clearance Flash,2025-07-12 16:30:00,1
66,15,email,Holiday VIP Early Access,2025-07-24 15:05:17,1
67,16,sms,Loyalty Rewards Migration,2025-01-14 01:09:28,0
68,16,social_media,Spring Clearance Flash,2025-01-05 08:02:33,0
69,16,paid_search,Abandoned Cart Reminder,2025-02-01 14:55:46,1
70,16,paid_search,Abandoned Cart Reminder,2025-02-18 23:44:47,1
71,17,social_media,Loyalty Rewards Migration,2024-11-17 16:41:18,0
72,17,social_media,Holiday VIP Early Access,2024-10-19 22:33:17,1
73,18,social_media,Holiday VIP Early Access,2025-10-14 22:06:42,1
74,18,retargeting_ad,Abandoned Cart Reminder,2025-11-11 17:07:51,0
75,18,social_media,Loyalty Rewards Migration,2025-10-23 11:22:56,0
76,18,retargeting_ad,Holiday VIP Early Access,2025-11-12 02:40:47,0
77,18,social_media,Holiday VIP Early Access,2025-09-24 18:13:54,1
78,19,paid_search,Holiday VIP Early Access,2024-08-20 13:40:50,0
79,20,social_media,Holiday VIP Early Access,2026-05-13 06:26:39,0
80,20,social_media,Abandoned Cart Reminder,2026-06-12 16:17:10,1
81,20,sms,Holiday VIP Early Access,2026-05-27 00:29:36,0
82,20,sms,Re-engagement Push 2026,2026-05-06 19:24:41,0
83,21,email,Abandoned Cart Reminder,2025-10-28 13:47:35,1
84,21,paid_search,Spring Clearance Flash,2025-12-11 23:43:09,0
85,21,retargeting_ad,Spring Clearance Flash,2025-11-29 03:32:24,0
86,22,retargeting_ad,Spring Clearance Flash,2024-12-02 11:27:04,0
87,22,email,Holiday VIP Early Access,2024-11-26 16:34:43,0
